month,country,distribution_centre,category,product,forecast_units,actual_units,smape_pct,service_level_pct,inventory_units,exception_type
2025-11-01,UK,DC North,Frozen,Frozen Meals,17560,14684,17.84,94.19,3878,Low Service Level
2025-11-01,Austria,DC Vienna,Ambient,Pasta,14110,14218,0.76,96.87,3633,Within Tolerance
2025-11-01,Austria,DC Vienna,Ambient,Rice,11159,9655,14.45,94.79,1931,Low Service Level
2025-11-01,Austria,DC Vienna,Fresh,Dairy,17581,14873,16.69,94.47,4747,Low Service Level
2025-11-01,Austria,DC Vienna,Fresh,Produce,8238,9042,9.31,94.95,2993,Low Service Level
2025-11-01,Austria,DC Vienna,Frozen,Frozen Meals,10942,9414,15.01,93.9,2950,Low Service Level
2025-12-01,Germany,DC Berlin,Ambient,Pasta,15374,12727,18.84,94.15,2861,Low Service Level
2025-12-01,Germany,DC Berlin,Ambient,Rice,16491,13326,21.23,95.42,4480,High Forecast Error
2025-12-01,Germany,DC Berlin,Fresh,Dairy,14292,12493,13.43,97.45,3947,Over Forecast
2025-12-01,Germany,DC Berlin,Fresh,Produce,10470,9273,12.13,96.12,3071,Over Forecast
2025-12-01,Germany,DC Berlin,Frozen,Frozen Meals,6563,7311,10.78,94.66,2160,Low Service Level
2025-12-01,Germany,DC Cologne,Ambient,Pasta,15251,15647,2.56,94.9,2728,Low Service Level
2025-12-01,Germany,DC Cologne,Ambient,Rice,10613,10906,2.72,94.82,1878,Low Service Level
2025-12-01,Germany,DC Cologne,Fresh,Dairy,16017,15189,5.31,97.93,3013,Within Tolerance
2025-12-01,Germany,DC Cologne,Fresh,Produce,8548,9352,8.98,97.99,2470,Within Tolerance
2025-12-01,Germany,DC Cologne,Frozen,Frozen Meals,10930,10068,8.21,97.66,1646,Within Tolerance
2025-12-01,UK,DC Midlands,Ambient,Pasta,16091,15618,2.98,94.85,2406,Low Service Level
2025-12-01,UK,DC Midlands,Ambient,Rice,11762,14702,22.22,94.33,4403,High Forecast Error
2025-12-01,UK,DC Midlands,Fresh,Dairy,14684,12850,13.32,96.62,3542,Over Forecast
2025-12-01,UK,DC Midlands,Fresh,Produce,10473,12447,17.23,94.58,3467,Low Service Level
2025-12-01,UK,DC Midlands,Frozen,Frozen Meals,17990,14612,20.72,94.54,2586,High Forecast Error
2025-12-01,UK,DC North,Ambient,Pasta,11555,14498,22.59,93.82,4743,High Forecast Error
2025-12-01,UK,DC North,Ambient,Rice,14718,12170,18.95,91.97,3147,Low Service Level
2025-12-01,UK,DC North,Fresh,Dairy,8885,11150,22.61,93.55,3595,High Forecast Error
2025-12-01,UK,DC North,Fresh,Produce,9170,7783,16.36,95.3,1740,Over Forecast
2025-12-01,UK,DC North,Frozen,Frozen Meals,15205,13553,11.49,94.42,4672,Low Service Level
2025-12-01,Austria,DC Vienna,Ambient,Pasta,16617,15129,9.37,96.53,3076,Within Tolerance
2025-12-01,Austria,DC Vienna,Ambient,Rice,9309,8353,10.83,97.68,2627,Over Forecast
2025-12-01,Austria,DC Vienna,Fresh,Dairy,14584,15937,8.87,97.59,3333,Within Tolerance
2025-12-01,Austria,DC Vienna,Fresh,Produce,15123,14305,5.56,96.3,3152,Within Tolerance
2025-12-01,Austria,DC Vienna,Frozen,Frozen Meals,8573,7693,10.82,94.35,1823,Low Service Level
